94-Pu-242(n,total fission) ENDF/B-VII.1
320.414,0.0648893
320.481,0.0489113
320.541,0.0379169
320.604,0.0290178
320.666,0.0225981
320.728,0.0178907
320.789,0.0144467
320.851,0.0119091
320.928,0.00961355
321.005,0.00796643
321.092,0.00661712
321.203,0.00536822
321.333,0.00433771
321.464,0.00358535
321.621,0.00292652
321.814,0.00234975
322.031,0.00189266
322.247,0.00156235
322.517,0.00126378
322.826,0.00102228
323.188,8.235E-4
323.567,6.77791E-4
324.007,5.58313E-4
324.493,4.6576E-4
325.087,3.88698E-4
325.705,3.36283E-4
326.322,3.03469E-4
326.986,2.85288E-4
327.378,2.82354E-4
328.0,2.9095E-4
328.47,3.11081E-4
328.943,3.48759E-4
329.363,4.0477E-4
329.724,4.80967E-4
329.976,5.59311E-4
330.228,6.70456E-4
330.444,8.06551E-4
330.642,9.84239E-4
330.804,0.00118966
330.954,0.00145783
331.08,0.00177801
331.185,0.00215748
331.278,0.00264583
331.353,0.00322761
331.413,0.00390261
331.465,0.00473961
331.513,0.00578921
331.554,0.00703231
331.595,0.00869197
331.641,0.0111857
331.683,0.0142688
331.723,0.0180959
331.767,0.0235858
331.812,0.0308288
331.862,0.041245
331.92,0.0564848
331.986,0.0784624
332.083,0.118127
332.227,0.179409
332.309,0.204229
332.388,0.214549
